Symbol	Prob.	Huffman Code
E		0.1165		100
T		0.1121		011
O		0.1077		001
A		0.0813		1110
S		0.0549		0100
N		0.0549		0001
R		0.0505		0000
L		0.0484		11111
U		0.0418		11011
Y		0.0374		11010
M		0.033		11000
H		0.033		10111
P		0.0308		10110
D		0.0308		10101
I		0.0286		10100
C		0.0264		01010
K		0.0242		111101
G		0.0154		110010
F		0.0154		010111
W		0.0132		010110
V		0.011		1111000
.		0.011		1100111
B		0.0088		1100110
!		0.0088		11110011
J		0.0022		111100101
,		0.0022		111100100
